"date","StockCode","Capacity","Volume","Open","High","Low","Close","Change","Transcation","MA5","MA10","MA20","MA60","MA120","MA240"
"2025-01-02","2330","45045125","47883206644","1070.0","1075.0","1055.0","1065.0","-10.0","74997","1065.0","1065.0","1065.0","1065.0","1065.0","1065.0"
"2025-01-03","2330","31244211","33728652860","1080.0","1085.0","1075.0","1075.0","10.0","28227","1070.0","1070.0","1070.0","1070.0","1070.0","1070.0"
"2025-01-06","2330","77874801","86585128825","1100.0","1125.0","1095.0","1125.0","50.0","130021","1088.3333333333333","1088.3333333333333","1088.3333333333333","1088.3333333333333","1088.3333333333333","1088.3333333333333"
"2025-01-07","2330","54691485","62664127156","1150.0","1160.0","1130.0","1130.0","5.0","70657","1098.75","1098.75","1098.75","1098.75","1098.75","1098.75"
"2025-01-08","2330","49181518","54760296689","1110.0","1130.0","1105.0","1105.0","-25.0","71736","1100.0","1100.0","1100.0","1100.0","1100.0","1100.0"
"2025-01-09","2330","29916198","33052210793","1100.0","1115.0","1100.0","1100.0","-5.0","51544","1107.0","1100.0","1100.0","1100.0","1100.0","1100.0"
"2025-01-10","2330","24475751","26996697889","1100.0","1110.0","1100.0","1100.0","0.0","38027","1112.0","1100.0","1100.0","1100.0","1100.0","1100.0"
"2025-01-13","2330","62629547","68093421797","1110.0","1115.0","1070.0","1075.0","-25.0","118516","1102.0","1096.875","1096.875","1096.875","1096.875","1096.875"
"2025-01-14","2330","31280235","33915048410","1085.0","1090.0","1075.0","1090.0","15.0","32218","1094.0","1096.111111111111","1096.111111111111","1096.111111111111","1096.111111111111","1096.111111111111"
"2025-01-15","2330","37966582","40677529813","1085.0","1085.0","1065.0","1065.0","-25.0","74906","1086.0","1093.0","1093.0","1093.0","1093.0","1093.0"
"2025-01-16","2330","49872673","54934128041","1095.0","1115.0","1090.0","1105.0","40.0","54389","1087.0","1097.0","1094.090909090909","1094.090909090909","1094.090909090909","1094.090909090909"
"2025-01-17","2330","60857371","67663576840","1125.0","1125.0","1095.0","1120.0","15.0","48829","1091.0","1101.5","1096.25","1096.25","1096.25","1096.25"
"2025-01-20","2330","32062171","36076248367","1125.0","1135.0","1120.0","1120.0","0.0","37780","1100.0","1101.0","1098.076923076923","1098.076923076923","1098.076923076923","1098.076923076923"
"2025-01-21","2330","24368832","27256307475","1115.0","1125.0","1110.0","1120.0","0.0","28262","1106.0","1100.0","1099.642857142857","1099.642857142857","1099.642857142857","1099.642857142857"
"2025-01-22","2330","45996696","52510666410","1140.0","1150.0","1135.0","1135.0","15.0","59434","1120.0","1103.0","1102.0","1102.0","1102.0","1102.0"
"2025-02-03","2330","113031525","120769676393","1065.0","1075.0","1060.0","1070.0","-65.0","247531","1113.0","1100.0","1100.0","1100.0","1100.0","1100.0"
"2025-02-04","2330","57904652","63132252012","1085.0","1100.0","1080.0","1095.0","25.0","59315","1108.0","1099.5","1099.7058823529412","1099.7058823529412","1099.7058823529412","1099.7058823529412"
"2025-02-05","2330","43082532","47931709801","1110.0","1120.0","1105.0","1110.0","15.0","51245","1106.0","1103.0","1100.2777777777778","1100.2777777777778","1100.2777777777778","1100.2777777777778"
"2025-02-06","2330","33768196","37638807097","1120.0","1120.0","1105.0","1115.0","5.0","32994","1105.0","1105.5","1101.0526315789473","1101.0526315789473","1101.0526315789473","1101.0526315789473"
"2025-02-07","2330","31107545","34745052940","1110.0","1125.0","1105.0","1125.0","10.0","35637","1103.0","1111.5","1102.25","1102.25","1102.25","1102.25"
"2025-02-10","2330","31037109","34425517969","1125.0","1125.0","1095.0","1105.0","-20.0","60839","1110.0","1111.5","1104.25","1102.3809523809523","1102.3809523809523","1102.3809523809523"
"2025-02-11","2330","21023057","23294288731","1110.0","1115.0","1100.0","1110.0","5.0","31837","1113.0","1110.5","1106.0","1102.7272727272727","1102.7272727272727","1102.7272727272727"
"2025-02-12","2330","26190392","28966591975","1110.0","1115.0","1100.0","1100.0","-10.0","38511","1111.0","1108.5","1104.75","1102.608695652174","1102.608695652174","1102.608695652174"
"2025-02-13","2330","35681521","38806197999","1090.0","1095.0","1080.0","1090.0","-10.0","72456","1106.0","1105.5","1102.75","1102.0833333333333","1102.0833333333333","1102.0833333333333"
